Option Contract:		Jun 2026 Option Expiration:	6/12/2026 (0.47 DTE) Option Symbol:		OG2M6 Underlying Future:	Aug 2026 Underlying Symbol:	GCQ6 - OG2M6 Open Interest - Put: 6,446 Call: 7,260 Vol: 43.75 Vol Chg: 0.00 Future Chg: 88.6 FutPrc: 4202.3
Strike,Call,Put,Vol Settle
4010,0,23,0.5087010612186305
4015,0,11,0.5045681190093205
4020,0,17,0.5004875377992448
4025,0,27,0.4964628011099421
4030,0,43,0.4924974114453562
4035,0,14,0.488594890290301
4040,0,39,0.4847587781115408
4045,0,8,0.4809926343568236
4050,0,253,0.47730003745670047
4055,1,18,0.473684584822081
4060,5,33,0.4701498928458818
4065,1,18,0.46669959690274254
4070,1,39,0.46333735134862764
4075,4,54,0.4600668295215087
4080,9,22,0.45689172374005693
4085,0,17,0.4538157453054623
4090,101,19,0.4508426245004671
4095,3,11,0.44797611058794473
4100,78,723,0.4452199718144243
4105,2,11,0.4425779954067366
4110,9,20,0.44005398757326475
4115,18,19,0.4376517735046832
4120,9,12,0.43537519737247976
4125,218,32,0.4332281223303198
4130,12,34,0.43121443051290953
4135,21,9,0.42933802303690527
4140,13,7,0.4276028200005726
4145,9,15,0.4260127604833315
4150,167,259,0.4245718025466658
4155,27,11,0.42328392323344133
4160,58,26,0.4221531185681897
4165,8,7,0.4211834035564266
4170,15,22,0.42037881218595885
4175,103,113,0.4197433974263163
4180,75,23,0.4192812312276146
4185,12,25,0.4189964045223178
4190,22,44,0.4188930272247262
4195,23,12,0.41897522822989686
4200,302,450,0.4192471554147801
4205,9,21,0.41971297563787857
4210,48,5,0.4203768747398726
4215,35,19,0.4212430575417443
4220,76,13,0.42231574784767645
4225,26,166,0.42359918844181266
4230,12,15,0.42509764109104253
4235,28,23,0.42681538654306905
4240,37,14,0.42875672452794333
4245,20,1,0.430925973756473
4250,282,256,0.43332747192164334
4255,36,2,0.435965575697594
4260,71,1,0.438844660740358
4265,17,2,0.44196912168706604
4270,47,25,0.44534337215742426
4275,50,125,0.44897184475149743
4280,20,8,0.45285899105169847
4285,15,2,0.45700928162216314
4290,35,2,0.4614272060075564
4295,12,0,0.46611727273517545
4300,339,364,0
4305,58,35,0
4310,11,4,0
4315,40,0,0
4320,35,0,0
4325,50,68,0
4330,17,5,0
4335,27,4,0
4340,9,0,0
4345,27,2,0
4350,561,132,0
4355,8,3,0
4360,23,17,0
4365,41,2,0
4370,21,0,0
4375,157,118,0
4380,16,1,0
4385,16,0,0
4390,25,1,0
4395,10,2,0
4400,451,324,0
