Option Contract:		Aug 2026 Option Expiration:	8/6/2026 (1.42 DTE) Option Symbol:		G1RQ6 Underlying Future:	Oct 2026 Underlying Symbol:	GCV6 - G1RQ6 Open Interest - Put: 2,242 Call: 2,030 Vol: 22.67 Vol Chg: 0.00 Future Chg: 75 FutPrc: 4196.4
Strike,Call,Put,Vol Settle
4025,0,405,0.23504740089902043
4030,1,1,0.23329322380413942
4035,1,12,0.23172530395095237
4040,1,4,0.2303343653320553
4045,0,0,0.22911150603249553
4050,0,68,0.22804819817429234
4055,2,19,0.22713628795463592
4060,34,33,0.22636799563588283
4065,2,12,0.22573591553373262
4070,0,6,0.22523301602905121
4075,280,50,0.22485263956423296
4080,1,9,0.22458850266048103
4085,1,5,0.22443469587142317
4090,1,1,0.224385683825858
4095,1,3,0.2244363052332119
4100,78,153,0.22458177283351688
4105,25,10,0.2248176734583467
4110,28,3,0.22513996799170855
4115,7,1,0.2255449913582197
4120,19,55,0.2260294525849531
4125,40,81,0.22659043472322082
4130,9,0,0.22722539492224314
4135,16,0,0.227932164350932
4140,51,0,0.22870894828702149
4145,4,0,0.22955432604703674
4150,124,7,0.23046725099084142
4155,0,0,0.23144705058348336
4160,5,0,0.23249342632061598
4165,18,0,0.2336064537648781
4170,39,0,0.23478658256135532
4175,190,0,0.23603463638846733
4180,2,0,0.23735181300435215
4185,28,0,0.2387396842259477
4190,7,0,0.24020019594081532
4195,133,0,0.24173566809167824
4200,169,0,0.24334879466550774
4205,43,0,0.24504264373626938
4210,4,0,0.24682065744309512
4215,16,0,0.2486866519684554
4220,57,0,0.2506448175690821
4225,23,0,0.25269971856687334
4230,4,0,0.2548562933297944
4235,5,0,0.25711985430552886
4240,0,0,0.25949608799419366
4245,5,0,0.2619910549665292
4250,98,0,0.2646111898493473
4255,1,0,0.2673633013318977
4260,9,0,0.270254572169506
4265,0,0,0.27329255916993134
4270,0,0,0.2764851932206511
4275,124,0,0.2798407792688522
4280,9,0,0.2833679962932365
4285,1,0,0.2870758973804186
4290,0,0,0.2909739096521662
4295,0,0,0.2950718342963228
4300,173,0,0.29937984656498884
4305,0,0,0
4310,0,0,0
4315,0,0,0
4320,0,0,0
4325,40,0,0
4330,0,0,0
4335,0,0,0
4340,0,0,0
4345,0,0,0
4350,20,0,0
4355,0,0,0
4360,0,0,0
4365,0,0,0
4370,0,0,0
4375,8,0,0
